,SMILES,Molar mass,Functional,Basis,Multiplicity,Charge,"Temperature, K",Solvent,"ZPE, eV","H, eV","TS, eV","G, eV","G-ZPE, eV","Dipole, D",Molecular volume,Diffusion cm2/s,path
0,ClC1=C[CH]C=[N]=C1,113.544,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-19258.19,-19258.17,0.98,-19259.14,-0.9500000000007276,3.13,8.837169e-28,1.0602282146977271e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\chlorpyridine\out.txt
1,Clc1ccc(C(F)(F)F)cc1,180.554,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-27993.47,-27993.45,1.21,-27994.66,-1.1899999999986903,2.91,1.2168986000000001e-27,9.529840100937126e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\F3CBnCl\out.txt
2,Clc1ccc(C#N)cc1,137.566,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-21331.44,-21331.41,1.09,-21332.5,-1.0600000000013097,4.51,1.0942075000000001e-27,9.873486010880981e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\NCPhCl\out.txt
3,Cl[C](Cl)Cl.[Cl],153.811,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-51120.39,-51120.36,1.07,-51121.43,-1.0400000000008731,17.26,9.761392e-28,1.0256515162375398e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\CCl4\out.txt
4,[Cl].[CH2]c1ccccc1,126.583,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-19888.98,-19888.95,1.11,-19890.06,-1.0800000000017462,19.46,1.1438982000000002e-27,9.728397005606298e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\BnCl\out.txt
5,Cl[CH]Cl.[Cl],119.369,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-38615.18,-38615.16,0.99,-38616.15,-0.9700000000011642,14.98,8.041359e-28,1.094109008396006e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\CHCl3\out.txt
6,[Cl].N#C[CH2],75.495,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-16113.68,-16113.65,0.94,-16114.59,-0.9099999999998545,7.73,6.749511000000001e-28,1.1598797717771256e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\NCCH2Cl\out.txt
7,[Cl].O=C(OCC)[CH2],122.548,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-20872.08,-20872.06,1.18,-20873.23,-1.1499999999978172,8.59,1.0427499e-27,1.0033297549614686e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\ethylchloroacetate\out.txt
8,Clc1c2ccccc2cc2ccccc12,212.676,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-27179.01,-27178.99,1.3,-27180.29,-1.2800000000024738,2.54,1.6654631e-27,8.58338789421687e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\AnCl\out.txt
9,Clc1cccc2ccccc12,162.616,B3LYP,DEF2-TZVPP,1,0,298.15,acetonitrile,-23000.33,-23000.3,1.14,-23001.44,-1.109999999996944,2.47,1.2956868e-27,9.332623222501639e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_reorganization\cloronapthtalene\out.txt
10,[Cl-1],35.450,B3LYP,DEF2-TZVPP,1,-1,298.15,acetonitrile,-12526.38,-12526.36,0.47,-12526.83,-0.4500000000007276,0.0,2.61784e-28,1.5904598536946116e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\anions\Cl-\out.txt
11,Clc1ccc(C(F)(F)F)cc1,180.554,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-27995.57,-27995.54,1.2,-27996.74,-1.1700000000018917,0.59,1.2168986000000001e-27,9.529840100937126e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\F3CBnCl_ad\out.txt
12,Clc1ccc(C#N)cc1,137.566,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-21333.75,-21333.73,1.15,-21334.88,-1.1300000000010186,8.27,1.0942075000000001e-27,9.873486010880981e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\NCPhCl_ad\out.txt
13,Cl[C](Cl)Cl.[Cl-1],153.811,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-51126.26,-51126.23,1.18,-51127.41,-1.1500000000014552,15.56,9.761392e-28,1.0256515162375398e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\CCl4_ad\out.txt
14,[Cl-1].[CH2]c1ccccc1,126.583,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-19893.86,-19893.83,1.19,-19895.02,-1.1599999999998545,13.67,1.1438982000000002e-27,9.728397005606298e-06,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\BnCl_ad\out.txt
15,Cl[CH]Cl.[Cl-1],119.369,B3LYP,DEF2-TZVPP,2,-1,298.15,acetonitrile,-38620.82,-38620.8,1.08,-38621.88,-1.0599999999976717,11.98,8.041359e-28,1.094109008396006e-05,D:\Electrochemistry\Article_2\ORCA\Article_new\Chlorides\b3lyp\def2-tzvpp\chlorides_ad\CHCl3_ad\out.txt
