,SMILES,Molar mass,Functional,Basis,Multiplicity,Charge,"Temperature, K",Solvent,"ZPE, eV","H, eV","TS, eV","G, eV","G-ZPE, eV","Dipole, D",Molecular volume,path
0,ON(O)C1CCCCC1[*1-],123.111,B3LYP,MA-DEF2-TZVPP,2,-1,298.15 ,acetonitrile,-11884.38,-11884.35,1.09,-11885.45,-1.070000000001528,10.97,9.941448e-28,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\NB-\out.txt
1,NCC(CN)C1CCC(C(CN)CN)CC1,204.192,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-18459.64,-18459.61,1.48,-18461.09,-1.4500000000007276,0.0,1.6817111e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TCNQ\out.txt
2,C1CCC2SC3CCCCC3SC2C1[2+],216.316,B3LYP,MA-DEF2-TZVPP,1,2,298.15 ,acetonitrile,-34225.5,-34225.47,1.29,-34226.76,-1.2600000000020373,0.0,1.6170008000000003e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TH++\out.txt
3,OC1CCC(O)CC1[*1-],108.096,B3LYP,MA-DEF2-TZVPP,2,-1,298.15 ,acetonitrile,-10380.97,-10380.94,1.01,-10381.95,-0.9800000000013824,0.0,8.900362000000001e-28,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\BQ-\out.txt
4,OC(C1CCCCC1)C1CCCCC1[*1-],182.222,B3LYP,MA-DEF2-TZVPP,2,-1,298.15 ,acetonitrile,-15686.11,-15686.08,1.33,-15687.41,-1.2999999999992724,6.86,1.5457965e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\BP-\out.txt
5,ON(O)C1CCCCC1,123.111,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-11880.99,-11880.97,1.07,-11882.04,-1.0500000000010914,6.42,9.874227e-28,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\NB\out.txt
6,OO,31.998,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-4088.91,-4088.88,0.6,-4089.49,-0.5799999999999272,0.0,2.5244440000000004e-28,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\O2\out.txt
7,C1CCC(NNC2CCCCC2)CC1[*1-],182.226,B3LYP,MA-DEF2-TZVPP,2,-1,298.15 ,acetonitrile,-15581.02,-15581.0,1.34,-15582.33,-1.3099999999994907,0.22,1.5580703000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\AB-\out.txt
8,OO[*1-],31.998,B3LYP,MA-DEF2-TZVPP,2,-1,298.15 ,acetonitrile,-4094.13,-4094.1,0.63,-4094.73,-0.599999999999909,0.0,2.6013720000000003e-28,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\O2-\out.txt
9,C1CCC2SC3CCCCC3SC2C1,216.316,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-34236.82,-34236.79,1.25,-34238.05,-1.2300000000032014,0.01,1.6407813000000003e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TH\out.txt
10,NCC(CN)C1CCC(C(CN)CN)CC1[2-],204.192,B3LYP,MA-DEF2-TZVPP,1,-2,298.15 ,acetonitrile,-18468.31,-18468.28,1.49,-18469.77,-1.4599999999991269,0.0,1.6919697000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TCNQ--\out.txt
11,NCC(CN)C1CCC(C(CN)CN)CC1[*1-],204.192,B3LYP,MA-DEF2-TZVPP,2,-1,298.15 ,acetonitrile,-18464.42,-18464.4,1.5,-18465.9,-1.4800000000032014,0.0,1.6858396000000003e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TCNQ-\out.txt
12,C1CCC(NNC2CCCCC2)CC1,182.226,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-15577.94,-15577.91,1.33,-15579.24,-1.2999999999992724,0.1,1.5566450000000001e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\AB\out.txt
13,C1CSC(C2SCCS2)S1,204.338,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-49620.75,-49620.72,1.21,-49621.93,-1.180000000000291,0.0,1.3738303000000001e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TTF\out.txt
14,C1CCC2CC3CCCCC3CC2C1,178.234,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-14673.47,-14673.44,1.22,-14674.67,-1.2000000000007276,0.0,1.5308433e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\An\out.txt
15,OC1CCC(O)CC1[2-],108.096,B3LYP,MA-DEF2-TZVPP,1,-2,298.15 ,acetonitrile,-10383.81,-10383.78,0.99,-10384.77,-0.9600000000009459,0.0,8.966351000000001e-28,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\BQ--\out.txt
16,C1CSC(C2SCCS2)S1[1+],204.338,B3LYP,MA-DEF2-TZVPP,2,1,298.15 ,acetonitrile,-49616.33,-49616.3,1.25,-49617.56,-1.2299999999959255,0.0,1.3622434000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TTF+\out.txt
17,C1CCC2CC3CCCCC3CC2C1[1+],178.234,B3LYP,MA-DEF2-TZVPP,2,1,298.15 ,acetonitrile,-14668.19,-14668.17,1.24,-14669.41,-1.2199999999993452,0.0,1.5296972000000003e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\An+\out.txt
18,OC1CCC(O)CC1,108.096,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-10376.87,-10376.84,1.0,-10377.85,-0.9799999999995634,0.0,8.870247e-28,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\BQ\out.txt
19,C1CCC2SC3CCCCC3SC2C1[1+],216.316,B3LYP,MA-DEF2-TZVPP,2,1,298.15 ,acetonitrile,-34231.71,-34231.68,1.31,-34232.99,-1.2799999999988358,0.0,1.6282764e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\TH+\out.txt
20,OC(C1CCCCC1)C1CCCCC1,182.222,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-15683.53,-15683.51,1.31,-15684.81,-1.2799999999988358,4.84,1.5411161e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reduction_potential_prediction\acetonitrile\BP\out.txt
