,Reagent SMILES,Reagent multiplicity,Reagent charge,"Reagent energy, eV",Product SMILES,Product multiplicity,Product charge,"Product energy, eV",Functional,Basis,Solvent,Reaction,Type,Mechanism,"Free energy, eV"
0,NCC(CN)C1CCC(C(CN)CN)CC1,1,0,-18461.09,NCC(CN)C1CCC(C(CN)CN)CC1[*1-],2,-1,-18465.9,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.81
1,C1CCC2SC3CCCCC3SC2C1[2+],1,2,-34226.76,C1CCC2SC3CCCCC3SC2C1[1+],2,1,-34232.99,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,dissoc.,concerted,-6.23
2,OC1CCC(O)CC1[*1-],2,-1,-10381.95,OC1CCC(O)CC1[2-],1,-2,-10384.77,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-2.82
3,ON(O)C1CCCCC1,1,0,-11882.04,ON(O)C1CCCCC1[*1-],2,-1,-11885.45,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-3.41
4,OO,1,0,-4089.49,OO[*1-],2,-1,-4094.73,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.24
5,NCC(CN)C1CCC(C(CN)CN)CC1[*1-],2,-1,-18465.9,NCC(CN)C1CCC(C(CN)CN)CC1[2-],1,-2,-18469.77,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-3.87
6,C1CCC(NNC2CCCCC2)CC1,1,0,-15579.24,C1CCC(NNC2CCCCC2)CC1[*1-],2,-1,-15582.33,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-3.09
7,C1CSC(C2SCCS2)S1[1+],2,1,-49617.56,C1CSC(C2SCCS2)S1,1,0,-49621.93,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.37
8,C1CCC2CC3CCCCC3CC2C1[1+],2,1,-14669.41,C1CCC2CC3CCCCC3CC2C1,1,0,-14674.67,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.26
9,OC1CCC(O)CC1,1,0,-10377.85,OC1CCC(O)CC1[*1-],2,-1,-10381.95,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.1
10,C1CCC2SC3CCCCC3SC2C1[1+],2,1,-34232.99,C1CCC2SC3CCCCC3SC2C1,1,0,-34238.05,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.06
11,OC(C1CCCCC1)C1CCCCC1,1,0,-15684.81,OC(C1CCCCC1)C1CCCCC1[*1-],2,-1,-15687.41,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-2.6
