,SMILES,Molar mass,Functional,Basis,Multiplicity,Charge,"Temperature, K",Solvent,"ZPE, eV","H, eV","TS, eV","G, eV","G-ZPE, eV","Dipole, D",Molecular volume,Diffusion cm2/s,path
0,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,PBE,MA-DEF2-TZVPP,2,1,298.15,acetonitrile,-44897.29,-44897.26,1.18,-44898.44,-1.1500000000014552,0.18,1.2874028000000002e-27,9.352597861032514e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\pbe\Fc\Fc+_rotate_kdiis\out.txt
1,[Fe]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,PBE,MA-DEF2-TZVPP,1,0,298.15,acetonitrile,-44902.54,-44902.51,1.17,-44903.69,-1.1500000000014552,0.02,1.276389e-27,9.379421651826342e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\pbe\Fc\Fc0\out.txt
2,[Fe][C@@H]1[CH]C=C[CH]1.C1=CC=C[CH]1,186.035,B3LYP,MA-DEF2-TZVPP,1,0,298.15,acetonitrile,-44912.63,-44912.61,1.17,-44913.78,-1.1500000000014552,0.02,1.2766474000000002e-27,9.378788794731927e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\b3lyp\Fc\Fc0\out.txt
3,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,B3LYP,MA-DEF2-TZVPP,2,1,298.15,acetonitrile,-44907.54,-44907.51,1.17,-44908.68,-1.139999999999418,0.17,1.2869242e-27,9.35375711049604e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\b3lyp\Fc\Fc+_rotate\out.txt
4,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,REVPBE,MA-DEF2-TZVPP,2,1,298.15,acetonitrile,-44912.58,-44912.56,1.18,-44913.74,-1.1599999999962165,0.18,1.2909966e-27,9.343911392774603e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\revpbe\Fc\Fc+_rotate_kdiis\out.txt
5,[Fe]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,REVPBE,MA-DEF2-TZVPP,1,0,298.15,acetonitrile,-44917.73,-44917.7,1.18,-44918.88,-1.1499999999941792,0.02,1.2796881000000002e-27,9.371354509124656e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\revpbe\Fc\Fc0\out.txt
6,[Fe]([C@@H]1[CH]C=C[CH]1)[C@@H]1C=CC=C1,186.035,PBE0,MA-DEF2-TZVPP,1,0,298.15,acetonitrile,-44902.42,-44902.39,1.16,-44903.56,-1.139999999999418,0.01,1.2676396e-27,9.400951490057086e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\pbe0\Fc\Fc0\out.txt
7,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,PBE0,MA-DEF2-TZVPP,2,1,298.15,acetonitrile,-44897.27,-44897.24,1.16,-44898.4,-1.1300000000046566,0.17,1.2778105000000002e-27,9.375942316150957e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\pbe0\Fc\Fc+_rotate\out.txt
8,[Fe][C@@H]1C=CC=C1.C1=CC=C[CH]1,186.035,BLYP,MA-DEF2-TZVPP,1,0,298.15,acetonitrile,-44919.48,-44919.46,1.19,-44920.64,-1.1599999999962165,0.02,1.2856367e-27,9.356878506656173e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\blyp\Fc0\out.txt
9,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,BLYP,MA-DEF2-TZVPP,2,1,298.15,acetonitrile,-44914.42,-44914.39,1.19,-44915.58,-1.1600000000034925,0.18,1.2972254000000002e-27,9.328932048290238e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\blyp\Fc+_rotate\out.txt
10,[Fe][C@@H]1[CH]C=C[CH]1.C1=CC=C[CH]1,186.035,M062X,MA-DEF2-TZVPP,1,0,298.15,acetonitrile,-44913.61,-44913.59,1.14,-44914.72,-1.110000000000582,0.01,1.2921093000000002e-27,9.341228452539886e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\m062x\Fc0\out.txt
11,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,M062X,MA-DEF2-TZVPP,2,1,298.15,acetonitrile,-44906.35,-44906.33,1.18,-44907.5,-1.1500000000014552,0.08,1.2936531000000002e-27,9.337511142546196e-06,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\MeCN\m062x\Fc+_rotate\out.txt
12,[Fe][C@@H]1C=CC=C1.C1=CC=C[CH]1,186.035,BLYP,MA-DEF2-TZVPP,1,0,298.15,gas,-44919.32,-44919.3,1.18,-44920.48,-1.1600000000034925,0.0,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\blyp\Fc\Fc0\out.txt
13,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,BLYP,MA-DEF2-TZVPP,2,1,298.15,gas,-44912.33,-44912.3,1.19,-44913.5,-1.1699999999982538,0.14,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\blyp\Fc\Fc+_rotate\out.txt
14,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,PBE,MA-DEF2-TZVPP,2,1,298.15,gas,-44895.2,-44895.17,1.18,-44896.35,-1.1500000000014552,0.17,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\pbe\Fc\Fc+_rotate_kdiis\out.txt
15,[Fe][C@@H]1C=CC=C1.C1=CC=C[CH]1,186.035,PBE,MA-DEF2-TZVPP,1,0,298.15,gas,-44902.36,-44902.34,1.17,-44903.51,-1.1500000000014552,0.0,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\pbe\Fc\Fc0\out.txt
16,[Fe][C@@H]1[CH]C=C[CH]1.C1=CC=C[CH]1,186.035,B3LYP,MA-DEF2-TZVPP,1,0,298.15,gas,-44912.46,-44912.44,1.17,-44913.61,-1.1500000000014552,0.0,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\b3lyp\Fc\Fc0\out.txt
17,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,B3LYP,MA-DEF2-TZVPP,2,1,298.15,gas,-44905.45,-44905.43,1.17,-44906.6,-1.1500000000014552,0.14,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\b3lyp\Fc\Fc+_rotate\out.txt
18,[Fe][C@@H]1[CH]C=C[CH]1.C1=CC=C[CH]1,186.035,M062X,MA-DEF2-TZVPP,1,0,298.15,gas,-44913.4,-44913.37,1.19,-44914.56,-1.1599999999962165,0.0,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\m062x\Fc\Fc0\out.txt
19,[Fe+1]([C@@H]1C=CC=C1)[C@H]1C=CC=C1,186.035,M062X,MA-DEF2-TZVPP,2,1,298.15,gas,-44904.28,-44904.26,1.15,-44905.4,-1.1200000000026193,0.11,,NaN,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\corrected\gas\ma-def2-tzvpp\m062x\Fc\Fc+_rotate\out.txt
