,SMILES,Molar mass,Functional,Basis,Multiplicity,Charge,"Temperature, K",Solvent,"ZPE, eV","H, eV","TS, eV","G, eV","G-ZPE, eV","Dipole, D",Molecular volume,path
0,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,BLYP,MA-DEF2-TZVPP,1,0,298.15 ,gas,-44919.32,-44919.3,1.18,-44920.48,-1.1600000000034925,0.0,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\blyp\Fc\Fc0\out.txt
1,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,BLYP,MA-DEF2-TZVPP,2,1,298.15 ,gas,-44912.79,-44912.77,1.24,-44914.0,-1.2099999999991269,0.23,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\blyp\Fc\Fc+\out.txt
2,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,PBE,MA-DEF2-TZVPP,1,0,298.15 ,gas,-44902.36,-44902.34,1.17,-44903.51,-1.1500000000014552,0.0,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\pbe\Fc\Fc0\out.txt
3,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,PBE,MA-DEF2-TZVPP,2,1,298.15 ,gas,-44895.59,-44895.56,1.19,-44896.75,-1.1600000000034925,0.25,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\pbe\Fc\Fc+\out.txt
4,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,gas,-44912.46,-44912.44,1.17,-44913.61,-1.1500000000014552,0.0,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\b3lyp\Fc\Fc0\out.txt
5,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,B3LYP,MA-DEF2-TZVPP,2,1,298.15 ,gas,-44906.13,-44906.1,1.22,-44907.32,-1.1900000000023283,0.2,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\b3lyp\Fc\Fc+\out.txt
6,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,M062X,MA-DEF2-TZVPP,1,0,298.15 ,gas,-44913.4,-44913.37,1.19,-44914.56,-1.1599999999962165,0.0,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\m062x\Fc\Fc0\out.txt
7,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,M062X,MA-DEF2-TZVPP,2,1,298.15 ,gas,-44907.0,-44906.98,1.2,-44908.18,-1.180000000000291,0.13,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\m062x\Fc\Fc+\out.txt
8,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,REVPBE,MA-DEF2-TZVPP,1,0,298.15 ,gas,-44917.56,-44917.53,1.17,-44918.71,-1.1500000000014552,0.0,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\revpbe\Fc\Fc0\out.txt
9,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,REVPBE,MA-DEF2-TZVPP,2,1,298.15 ,gas,-44910.9,-44910.87,1.2,-44912.07,-1.1699999999982538,0.25,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\revpbe\Fc\Fc+\out.txt
10,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,M06L,MA-DEF2-TZVPP,1,0,298.15 ,gas,-44918.83,-44918.81,1.15,-44919.96,-1.1299999999973807,0.0,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\m06l\Fc\Fc0\out.txt
11,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,M06L,MA-DEF2-TZVPP,2,1,298.15 ,gas,-44912.25,-44912.23,1.19,-44913.42,-1.1699999999982538,0.21,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\m06l\Fc\Fc+\out.txt
12,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,PBE0,MA-DEF2-TZVPP,1,0,298.15 ,gas,-44902.23,-44902.2,1.16,-44903.36,-1.1299999999973807,0.0,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\pbe0\Fc\Fc0\out.txt
13,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,PBE0,MA-DEF2-TZVPP,2,1,298.15 ,gas,-44895.84,-44895.82,1.18,-44897.0,-1.1600000000034925,0.22,,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\gas\ma-def2-tzvpp\pbe0\Fc\Fc+\out.txt
14,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,PBE,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-44902.54,-44902.51,1.17,-44903.69,-1.1500000000014552,0.02,1.276389e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\pbe\Fc\Fc0\out.txt
15,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,PBE,MA-DEF2-TZVPP,2,1,298.15 ,acetonitrile,-44897.66,-44897.63,1.19,-44898.83,-1.1699999999982538,0.31,1.2874028000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\pbe\Fc\Fc+\out.txt
16,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,B3LYP,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-44912.63,-44912.61,1.17,-44913.78,-1.1500000000014552,0.02,1.2766474000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\b3lyp\Fc\Fc0\out.txt
17,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,B3LYP,MA-DEF2-TZVPP,2,1,298.15 ,acetonitrile,-44908.2,-44908.17,1.22,-44909.4,-1.2000000000043656,0.26,1.2869242e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\b3lyp\Fc\Fc+\out.txt
18,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,REVPBE,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-44917.73,-44917.7,1.18,-44918.88,-1.1499999999941792,0.02,1.2796881000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\revpbe\Fc\Fc0\out.txt
19,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,REVPBE,MA-DEF2-TZVPP,2,1,298.15 ,acetonitrile,-44912.97,-44912.94,1.2,-44914.14,-1.1699999999982538,0.31,1.2909966e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\revpbe\Fc\Fc+\out.txt
20,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,186.035,PBE0,MA-DEF2-TZVPP,1,0,298.15 ,acetonitrile,-44902.42,-44902.39,1.16,-44903.56,-1.139999999999418,0.01,1.2676396e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\pbe0\Fc\Fc0\out.txt
21,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],186.035,PBE0,MA-DEF2-TZVPP,2,1,298.15 ,acetonitrile,-44897.93,-44897.9,1.18,-44899.08,-1.1500000000014552,0.27,1.2778105000000002e-27,D:\Electrochemistry\Article_2\ORCA\Results\Reference_electrodes\Ferrocene\standard\MeCN\pbe0\Fc\Fc+\out.txt
