,Functional,Basis,Solvent,"Ionization energy, eV"
0,B3LYP,DEF2-TZVPP,acetonitrile,4.379999999997381
1,B3LYP,MA-DEF2-TZVPP,acetonitrile,4.379999999997381
2,DLPNO-CCSD,CC-PVTZ,acetonitrile,4.369999999995343
3,PBE,MA-DEF2-TZVPP,acetonitrile,4.860000000000582
4,PBE0,MA-DEF2-TZVPP,acetonitrile,4.4799999999959255
5,REVPBE,MA-DEF2-TZVPP,acetonitrile,4.739999999997963
6,B3LYP,MA-DEF2-TZVPP,gas,6.290000000000873
7,PBE,MA-DEF2-TZVPP,gas,6.760000000002037
8,PBE0,MA-DEF2-TZVPP,gas,6.360000000000582
9,REVPBE,MA-DEF2-TZVPP,gas,6.639999999999418
