,Reagent SMILES,Reagent multiplicity,Reagent charge,"Reagent energy, eV",Product SMILES,Product multiplicity,Product charge,"Product energy, eV",Functional,Basis,Solvent,Reaction,Type,Mechanism,"Free energy, eV"
0,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44898.44,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44903.69,PBE,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.25
1,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44908.68,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44913.78,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.1
2,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44913.74,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44918.88,REVPBE,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.14
3,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44898.4,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44903.56,PBE0,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.16
4,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44915.58,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44920.64,BLYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-5.06
5,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44907.5,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44914.72,M062X,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-7.22
6,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44913.5,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44920.48,BLYP,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.98
7,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44896.35,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44903.51,PBE,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-7.16
8,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44906.6,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44913.61,B3LYP,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-7.01
9,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44905.4,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44914.56,M062X,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-9.16
10,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44911.65,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44918.71,REVPBE,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-7.06
11,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44912.93,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44919.96,M06L,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-7.03
