,Reagent SMILES,Reagent multiplicity,Reagent charge,"Reagent energy, eV",Product SMILES,Product multiplicity,Product charge,"Product energy, eV",Functional,Basis,Solvent,Reaction,Type,Mechanism,"Free energy, eV"
0,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44914.0,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44920.48,BLYP,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.48
1,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44896.75,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44903.51,PBE,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.76
2,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44907.32,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44913.61,B3LYP,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.29
3,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44908.18,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44914.56,M062X,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.38
4,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44912.07,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44918.71,REVPBE,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.64
5,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44913.42,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44919.96,M06L,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.54
6,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44897.0,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44903.36,PBE0,MA-DEF2-TZVPP,gas,electrochem.,adiab.,stepwise,-6.36
7,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44898.83,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44903.69,PBE,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.86
8,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44909.4,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44913.78,B3LYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.38
9,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44914.14,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44918.88,REVPBE,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.74
10,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44899.08,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44903.56,PBE0,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.48
11,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44910.27,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44914.72,M062X,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.45
12,C12C3C4C5C1[Fe]23451678C2C1C6C7C28[1+],2,1,-44916.07,C12C3C4C5C1[Fe]23451678C2C1C6C7C28,1,0,-44920.64,BLYP,MA-DEF2-TZVPP,acetonitrile,electrochem.,adiab.,stepwise,-4.57
